[   0.373140] Input <Info> input_common\drivers\udp_client.cpp:UDPClient:140: Udp Initialization started
[   0.373150] Input <Info> input_common\drivers\udp_client.cpp:StartCommunication:332: Starting communication with UDP input server on 127.0.0.1:26760
[   0.550355] Frontend <Info> yuzu\main.cpp:GMainWindow:270: yuzu Version: yuzu 1046
[   0.550358] Frontend <Info> yuzu\main.cpp:GMainWindow:285: Host CPU: Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz | AVX2 | FMA
[   0.550517] Frontend <Info> yuzu\main.cpp:GMainWindow:287: Host OS: Windows 11 Version 22H2 (Build 25131.1000)
[   0.550533] Frontend <Info> yuzu\main.cpp:GMainWindow:289: Host RAM: 63.90 GiB
[   0.550534] Frontend <Info> yuzu\main.cpp:GMainWindow:290: Host Swap: 64.00 GiB
[  38.640139] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.6.0) applied successfully
[  38.650240] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.0.0) applied successfully
[  38.687129] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.41.0) applied successfully
[  38.694879] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.700369] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.4.0) applied successfully
[  38.708450] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.715729] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  38.721970] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.727900] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.734179] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.4.0) applied successfully
[  38.743635] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.750329] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.22.0) applied successfully
[  38.758765] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  38.765604] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.5.0) applied successfully
[  38.775730] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.12.0) applied successfully
[  38.784830] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  38.796841] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  38.803329] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.5.0) applied successfully
[ 117.614861] Config <Info> common\settings.cpp:LogSettings:40: yuzu Configuration:
[ 117.614872] Config <Info> common\settings.cpp:operator ():33: Controls_UseDockedMode: true
[ 117.614874] Config <Info> common\settings.cpp:operator ():33: System_RngSeed: 0
[ 117.614875] Config <Info> common\settings.cpp:operator ():33: System_CurrentUser: 0
[ 117.614876] Config <Info> common\settings.cpp:operator ():33: System_LanguageIndex: 1
[ 117.614876] Config <Info> common\settings.cpp:operator ():33: System_RegionIndex: 1
[ 117.614877] Config <Info> common\settings.cpp:operator ():33: System_TimeZoneIndex: 0
[ 117.614878] Config <Info> common\settings.cpp:operator ():33: Core_UseMultiCore: true
[ 117.614879] Config <Info> common\settings.cpp:operator ():33: CPU_Accuracy: 0
[ 117.614880] Config <Info> common\settings.cpp:operator ():33: Renderer_UseResolutionScaling: 3
[ 117.614880] Config <Info> common\settings.cpp:operator ():33: Renderer_ScalingFilter: 4
[ 117.614880] Config <Info> common\settings.cpp:operator ():33: Renderer_AntiAliasing: 1
[ 117.614881] Config <Info> common\settings.cpp:operator ():33: Renderer_UseSpeedLimit: true
[ 117.614881] Config <Info> common\settings.cpp:operator ():33: Renderer_SpeedLimit: 100
[ 117.614882] Config <Info> common\settings.cpp:operator ():33: Renderer_UseDiskShaderCache: true
[ 117.614882] Config <Info> common\settings.cpp:operator ():33: Renderer_GPUAccuracyLevel: 1
[ 117.614883] Config <Info> common\settings.cpp:operator ():33: Renderer_UseAsynchronousGpuEmulation: true
[ 117.614883] Config <Info> common\settings.cpp:operator ():33: Renderer_NvdecEmulation: 2
[ 117.614884] Config <Info> common\settings.cpp:operator ():33: Renderer_AccelerateASTC: true
[ 117.614884] Config <Info> common\settings.cpp:operator ():33: Renderer_UseVsync: true
[ 117.614886] Config <Info> common\settings.cpp:operator ():33: Renderer_ShaderBackend: 1
[ 117.614886] Config <Info> common\settings.cpp:operator ():33: Renderer_UseAsynchronousShaders: true
[ 117.614887] Config <Info> common\settings.cpp:operator ():33: Renderer_AnisotropicFilteringLevel: 3
[ 117.614887] Config <Info> common\settings.cpp:operator ():33: Audio_OutputEngine: auto
[ 117.614887] Config <Info> common\settings.cpp:operator ():33: Audio_OutputDevice: auto
[ 117.614888] Config <Info> common\settings.cpp:operator ():33: DataStorage_UseVirtualSd: true
[ 117.614890] Config <Info> common\settings.cpp:operator ():37: DataStorage_CacheDir: I:\Launchbox\Emulators\Yuzu\user\cache
[ 117.614891] Config <Info> common\settings.cpp:operator ():37: DataStorage_ConfigDir: I:\Launchbox\Emulators\Yuzu\user\config
[ 117.614891] Config <Info> common\settings.cpp:operator ():37: DataStorage_LoadDir: R:/Nintendo Switch/Yuzu/load/
[ 117.614892] Config <Info> common\settings.cpp:operator ():37: DataStorage_NANDDir: R:/Nintendo Switch/Yuzu/nand/
[ 117.614893] Config <Info> common\settings.cpp:operator ():37: DataStorage_SDMCDir: R:/Nintendo Switch/Yuzu/sdmc/
[ 117.614893] Config <Info> common\settings.cpp:operator ():33: Debugging_ProgramArgs: 
[ 117.614894] Config <Info> common\settings.cpp:operator ():33: Debugging_GDBStub: false
[ 117.614895] Config <Info> common\settings.cpp:operator ():33: Input_EnableMotion: true
[ 117.614896] Config <Info> common\settings.cpp:operator ():33: Input_EnableVibration: true
[ 117.614897] Config <Info> common\settings.cpp:operator ():33: Input_EnableRawInput: false
